Date,Committee,Number of utterances made by the committees per month
"=""04-1996""",251,0
"=""04-1997""",251,0
"=""04-1998""",251,0
"=""04-1999""",251,0
"=""04-2000""",251,0
"=""04-2001""",251,0
"=""04-2002""",251,0
"=""04-2003""",251,0
"=""04-2004""",251,417
"=""04-2005""",251,1105
"=""04-2006""",251,706
"=""04-2007""",251,1149
"=""04-2008""",251,1218
"=""04-2009""",251,281
"=""04-2010""",251,960
"=""04-2011""",251,532
"=""04-2012""",251,495
"=""05-1995""",251,0
"=""05-1996""",251,0
"=""05-1997""",251,0
"=""05-1998""",251,0
"=""05-1999""",251,0
"=""05-2000""",251,0
"=""05-2001""",251,0
"=""05-2002""",251,0
"=""05-2003""",251,1170
"=""05-2004""",251,574
"=""05-2005""",251,1218
"=""05-2006""",251,1401
"=""05-2007""",251,1661
"=""05-2008""",251,1227
"=""05-2009""",251,424
"=""05-2010""",251,329
"=""05-2011""",251,1018
"=""05-2012""",251,1109
"=""06-1995""",251,0
"=""06-1996""",251,0
"=""06-1997""",251,0
"=""06-1998""",251,0
"=""06-1999""",251,0
"=""06-2000""",251,0
"=""06-2001""",251,0
"=""06-2002""",251,0
"=""06-2003""",251,1605
"=""06-2004""",251,522
"=""06-2005""",251,2283
"=""06-2006""",251,2092
"=""06-2007""",251,2126
"=""06-2008""",251,338
"=""06-2009""",251,1154
"=""06-2010""",251,1189
"=""06-2011""",251,958
"=""06-2012""",251,1043
"=""07-1995""",251,0
"=""07-1996""",251,0
"=""07-1997""",251,0
"=""07-1998""",251,0
"=""07-1999""",251,0
"=""07-2000""",251,0
"=""07-2001""",251,0
"=""07-2002""",251,1189
"=""07-2003""",251,693
"=""07-2004""",251,128
"=""07-2005""",251,2232
"=""07-2006""",251,837
"=""07-2007""",251,1631
"=""07-2008""",251,1857
"=""07-2009""",251,1559
"=""07-2010""",251,957
"=""07-2011""",251,778
"=""07-2012""",251,1049
"=""08-1995""",251,0
"=""08-1996""",251,0
"=""08-1997""",251,0
"=""08-1998""",251,0
"=""08-1999""",251,0
"=""08-2000""",251,0
"=""08-2001""",251,0
"=""08-2002""",251,0
"=""08-2003""",251,115
"=""08-2004""",251,1
"=""08-2005""",251,0
"=""08-2006""",251,623
"=""08-2007""",251,182
"=""08-2008""",251,0
"=""08-2009""",251,0
"=""08-2010""",251,0
"=""08-2011""",251,101
"=""08-2012""",251,114
"=""09-1995""",251,0
"=""09-1996""",251,0
"=""09-1997""",251,0
"=""09-1998""",251,0
"=""09-1999""",251,0
"=""09-2000""",251,0
"=""09-2001""",251,0
"=""09-2002""",251,0
"=""09-2003""",251,623
"=""09-2004""",251,896
"=""09-2005""",251,697
"=""09-2006""",251,1134
"=""09-2007""",251,1055
"=""09-2008""",251,866
"=""09-2009""",251,723
"=""09-2010""",251,848
"=""09-2011""",251,860
"=""09-2012""",251,837
"=""10-1995""",251,0
"=""10-1996""",251,0
"=""10-1997""",251,0
"=""10-1998""",251,0
"=""10-1999""",251,0
"=""10-2000""",251,0
"=""10-2001""",251,0
"=""10-2002""",251,0
"=""10-2003""",251,1091
"=""10-2004""",251,0
"=""10-2005""",251,1136
"=""10-2006""",251,0
"=""10-2007""",251,1777
"=""10-2008""",251,0
"=""10-2009""",251,911
"=""10-2010""",251,0
"=""10-2011""",251,1068
"=""10-2012""",251,0
"=""11-1995""",251,0
"=""11-1996""",251,0
"=""11-1997""",251,0
"=""11-1998""",251,0
"=""11-1999""",251,0
"=""11-2000""",251,0
"=""11-2001""",251,0
"=""11-2002""",251,0
"=""11-2003""",251,0
"=""11-2004""",251,0
"=""11-2005""",251,855
"=""11-2006""",251,174
"=""11-2007""",251,945
"=""11-2008""",251,0
"=""11-2009""",251,1102
"=""11-2010""",251,0
"=""11-2011""",251,474
"=""11-2012""",251,263
"=""12-1995""",251,0
"=""12-1996""",251,0
"=""12-1997""",251,0
"=""12-1998""",251,0
"=""12-1999""",251,0
"=""12-2000""",251,0
"=""12-2001""",251,0
"=""12-2002""",251,0
"=""12-2003""",251,0
"=""12-2004""",251,0
"=""12-2005""",251,86
"=""12-2006""",251,0
"=""12-2007""",251,173
"=""12-2008""",251,0
"=""12-2009""",251,519
"=""12-2010""",251,0
"=""12-2011""",251,130
"=""12-2012""",251,103
"=""01-1995""",305,0
"=""01-1996""",305,0
"=""01-1997""",305,0
"=""01-1998""",305,0
"=""01-1999""",305,0
"=""01-2000""",305,0
"=""01-2001""",305,286
"=""01-2002""",305,0
"=""01-2003""",305,0
"=""01-2004""",305,230
"=""01-2005""",305,331
"=""01-2006""",305,95
"=""01-2007""",305,650
"=""01-2008""",305,157
"=""01-2009""",305,141
"=""01-2010""",305,0
"=""01-2011""",305,0
"=""01-2012""",305,0
"=""02-1995""",305,0
"=""02-1996""",305,0
"=""02-1997""",305,0
"=""02-1998""",305,0
"=""02-1999""",305,0
"=""02-2000""",305,1011
"=""02-2001""",305,272
"=""02-2002""",305,0
"=""02-2003""",305,0
"=""02-2004""",305,0
"=""02-2005""",305,177
"=""02-2006""",305,0
"=""02-2007""",305,120
"=""02-2008""",305,0
"=""02-2009""",305,439
"=""02-2010""",305,0
"=""02-2011""",305,161
"=""02-2012""",305,412
"=""03-1995""",305,0
"=""03-1996""",305,0
"=""03-1997""",305,0
"=""03-1998""",305,0
"=""03-1999""",305,0
"=""03-2000""",305,614
"=""03-2001""",305,491
"=""03-2002""",305,256
"=""03-2003""",305,211
"=""03-2004""",305,260
"=""03-2005""",305,248
"=""03-2006""",305,188
"=""03-2007""",305,1064
"=""03-2008""",305,0
"=""03-2009""",305,427
"=""03-2010""",305,0
"=""03-2011""",305,297
"=""03-2012""",305,531
"=""04-1995""",305,0
"=""04-1996""",305,0
"=""04-1997""",305,0
"=""04-1998""",305,0
"=""04-1999""",305,0
"=""04-2000""",305,728
"=""04-2001""",305,144
"=""04-2002""",305,0
"=""04-2003""",305,447
"=""04-2004""",305,60
"=""04-2005""",305,394
"=""04-2006""",305,102
"=""04-2007""",305,1296
"=""04-2008""",305,0
"=""04-2009""",305,98
"=""04-2010""",305,0
"=""04-2011""",305,0
"=""04-2012""",305,0
"=""05-1995""",305,0
"=""05-1996""",305,0
"=""05-1997""",305,0
"=""05-1998""",305,0
"=""05-1999""",305,0
"=""05-2000""",305,177
"=""05-2001""",305,308
"=""05-2002""",305,123
"=""05-2003""",305,199
"=""05-2004""",305,346
"=""05-2005""",305,47
"=""05-2006""",305,436
"=""05-2007""",305,313
"=""05-2008""",305,86
"=""05-2009""",305,104
"=""05-2010""",305,0
"=""05-2011""",305,270
"=""05-2012""",305,0
"=""06-1995""",305,0
"=""06-1996""",305,0
"=""06-1997""",305,0
"=""06-1998""",305,0
"=""06-1999""",305,0
"=""06-2000""",305,0
"=""06-2001""",305,107
"=""06-2002""",305,120
"=""06-2003""",305,398
"=""06-2004""",305,228
"=""06-2005""",305,629
"=""06-2006""",305,642
"=""06-2007""",305,77
"=""06-2008""",305,74
"=""06-2009""",305,207
"=""06-2010""",305,200
"=""06-2011""",305,547
"=""06-2012""",305,0
"=""07-1995""",305,0
"=""07-1996""",305,0
"=""07-1997""",305,0
"=""07-1998""",305,0
"=""07-1999""",305,0
"=""07-2000""",305,593
"=""07-2001""",305,1138
"=""07-2002""",305,817
"=""07-2003""",305,0
"=""07-2004""",305,0
"=""07-2005""",305,421
"=""07-2006""",305,909
"=""07-2007""",305,206
"=""07-2008""",305,0
"=""07-2009""",305,175
"=""07-2010""",305,203
"=""07-2011""",305,427
"=""07-2012""",305,91
"=""08-1995""",305,0
"=""08-1996""",305,0
"=""08-1997""",305,0
"=""08-1998""",305,0
"=""08-1999""",305,0
"=""08-2000""",305,0
"=""08-2001""",305,858
"=""08-2002""",305,169
"=""08-2003""",305,0
"=""08-2004""",305,0
"=""08-2005""",305,0
"=""08-2006""",305,1018
"=""08-2007""",305,0
"=""08-2008""",305,190
"=""08-2009""",305,143
"=""08-2010""",305,203
"=""08-2011""",305,181
"=""08-2012""",305,0
"=""09-1995""",305,0
"=""09-1996""",305,0
"=""09-1997""",305,0
"=""09-1998""",305,0
"=""09-1999""",305,0
"=""09-2000""",305,1179
"=""09-2001""",305,189
"=""09-2002""",305,379
"=""09-2003""",305,0
"=""09-2004""",305,0
"=""09-2005""",305,120
"=""09-2006""",305,150
"=""09-2007""",305,0
"=""09-2008""",305,49
"=""09-2009""",305,578
"=""09-2010""",305,207
"=""09-2011""",305,0
"=""09-2012""",305,0
"=""10-1995""",305,0
"=""10-1996""",305,0
"=""10-1997""",305,0
"=""10-1998""",305,0
"=""10-1999""",305,0
"=""10-2000""",305,0
"=""10-2001""",305,337
"=""10-2002""",305,32
"=""10-2003""",305,0
"=""10-2004""",305,0
"=""10-2005""",305,126
"=""10-2006""",305,157
"=""10-2007""",305,0
"=""10-2008""",305,612
"=""10-2009""",305,144
"=""10-2010""",305,0
"=""10-2011""",305,0
"=""10-2012""",305,0
"=""11-1995""",305,0
"=""11-1996""",305,0
"=""11-1997""",305,0
"=""11-1998""",305,0
"=""11-1999""",305,0
"=""11-2000""",305,0
"=""11-2001""",305,0
"=""11-2002""",305,0
"=""11-2003""",305,0
"=""11-2004""",305,0
"=""11-2005""",305,409
"=""11-2006""",305,0
"=""11-2007""",305,0
"=""11-2008""",305,0
"=""11-2009""",305,474
"=""11-2010""",305,0
"=""11-2011""",305,0
"=""11-2012""",305,0
"=""12-1995""",305,0
"=""12-1996""",305,0
"=""12-1997""",305,0
"=""12-1998""",305,0
"=""12-1999""",305,0
"=""12-2000""",305,0
"=""12-2001""",305,0
"=""12-2002""",305,0
"=""12-2003""",305,0
"=""12-2004""",305,0
"=""12-2005""",305,0
"=""12-2006""",305,58
"=""12-2007""",305,0
"=""12-2008""",305,114
"=""12-2009""",305,198
"=""12-2010""",305,55
"=""12-2011""",305,837
"=""12-2012""",305,0
"=""01-1995""",306,0
"=""01-1996""",306,0
"=""01-1997""",306,417
"=""01-1998""",306,3178
"=""01-1999""",306,431
"=""01-2000""",306,467
"=""01-2001""",306,316
"=""01-2002""",306,1538
"=""01-2003""",306,1007
"=""01-2004""",306,1018
"=""01-2005""",306,96
"=""01-2006""",306,589
"=""01-2007""",306,2528
"=""01-2008""",306,578
"=""01-2009""",306,0
"=""01-2010""",306,222
"=""01-2011""",306,0
"=""01-2012""",306,96
"=""02-1995""",306,0
"=""02-1996""",306,0
"=""02-1997""",306,7940
"=""02-1998""",306,2527
"=""02-1999""",306,2460
"=""02-2000""",306,3886
"=""02-2001""",306,2738
"=""02-2002""",306,3262
"=""02-2003""",306,268
"=""02-2004""",306,4442
"=""02-2005""",306,1839
"=""02-2006""",306,2538
"=""02-2007""",306,3233
"=""02-2008""",306,2129
"=""02-2009""",306,113
"=""02-2010""",306,952
"=""02-2011""",306,336
"=""02-2012""",306,1360
"=""03-1995""",306,0
"=""03-1996""",306,0
"=""03-1997""",306,1823
"=""03-1998""",306,3698
"=""03-1999""",306,5651
"=""03-2000""",306,5490
"=""03-2001""",306,2551
"=""03-2002""",306,5149
"=""03-2003""",306,6613
"=""03-2004""",306,8191
"=""03-2005""",306,5167
"=""03-2006""",306,7648
"=""03-2007""",306,9053
"=""03-2008""",306,5264
"=""03-2009""",306,1102
"=""03-2010""",306,8886
"=""03-2011""",306,6334
"=""03-2012""",306,7525
"=""04-1995""",306,0
"=""04-1996""",306,0
"=""04-1997""",306,1205
"=""04-1998""",306,296
"=""04-1999""",306,876
"=""04-2000""",306,936
"=""04-2001""",306,2434
"=""04-2002""",306,2914
"=""04-2003""",306,6226
"=""04-2004""",306,3730
"=""04-2005""",306,3476
"=""04-2006""",306,2504
"=""04-2007""",306,2199
"=""04-2008""",306,4623
"=""04-2009""",306,2168
"=""04-2010""",306,1981
"=""04-2011""",306,1965
"=""04-2012""",306,491
"=""05-1995""",306,0
"=""05-1996""",306,0
"=""05-1997""",306,721
"=""05-1998""",306,309
"=""05-1999""",306,73
"=""05-2000""",306,425
"=""05-2001""",306,1486
"=""05-2002""",306,445
"=""05-2003""",306,3679
"=""05-2004""",306,1147
"=""05-2005""",306,2968
"=""05-2006""",306,2081
"=""05-2007""",306,2073
"=""05-2008""",306,2239
"=""05-2009""",306,3223
"=""05-2010""",306,1344
"=""05-2011""",306,1656
"=""05-2012""",306,480
"=""06-1995""",306,0
"=""06-1996""",306,0
"=""06-1997""",306,111
"=""06-1998""",306,254
"=""06-1999""",306,477
"=""06-2000""",306,0
"=""06-2001""",306,848
"=""06-2002""",306,639
"=""06-2003""",306,384
"=""06-2004""",306,458
"=""06-2005""",306,148
"=""06-2006""",306,456
"=""06-2007""",306,416
"=""06-2008""",306,392
"=""06-2009""",306,2479
"=""06-2010""",306,587
"=""06-2011""",306,494
"=""06-2012""",306,300
"=""07-1995""",306,0
"=""07-1996""",306,0
"=""07-1997""",306,703
"=""07-1998""",306,211
"=""07-1999""",306,292
"=""07-2000""",306,63
"=""07-2001""",306,842
"=""07-2002""",306,0
"=""07-2003""",306,415
"=""07-2004""",306,588
"=""07-2005""",306,353
"=""07-2006""",306,206
"=""07-2007""",306,0
"=""07-2008""",306,153
"=""07-2009""",306,121
"=""07-2010""",306,502
"=""07-2011""",306,417
"=""07-2012""",306,332
"=""08-1995""",306,0
"=""08-1996""",306,0
"=""08-1997""",306,170
"=""08-1998""",306,0
"=""08-1999""",306,297
"=""08-2000""",306,0
"=""08-2001""",306,0
"=""08-2002""",306,0
"=""08-2003""",306,102
"=""08-2004""",306,0
"=""08-2005""",306,211
"=""08-2006""",306,116
"=""08-2007""",306,101
"=""08-2008""",306,0
"=""08-2009""",306,616
"=""08-2010""",306,131
"=""08-2011""",306,58
"=""08-2012""",306,65
"=""09-1995""",306,0
"=""09-1996""",306,0
"=""09-1997""",306,97
"=""09-1998""",306,520
"=""09-1999""",306,305
"=""09-2000""",306,108
"=""09-2001""",306,0
"=""09-2002""",306,1
"=""09-2003""",306,1473
"=""09-2004""",306,414
"=""09-2005""",306,157
"=""09-2006""",306,419
"=""09-2007""",306,753
"=""09-2008""",306,313
"=""09-2009""",306,507
"=""09-2010""",306,645
"=""09-2011""",306,0
"=""09-2012""",306,359
"=""10-1995""",306,0
"=""10-1996""",306,0
"=""10-1997""",306,1157
"=""10-1998""",306,0
"=""10-1999""",306,11
"=""10-2000""",306,232
"=""10-2001""",306,1107
"=""10-2002""",306,768
"=""10-2003""",306,258
"=""10-2004""",306,0
"=""10-2005""",306,154
"=""10-2006""",306,149
"=""10-2007""",306,0
"=""10-2008""",306,0
"=""10-2009""",306,0
"=""10-2010""",306,0
"=""10-2011""",306,221
"=""10-2012""",306,0
"=""11-1995""",306,0
"=""11-1996""",306,0
"=""11-1997""",306,0
"=""11-1998""",306,0
"=""11-1999""",306,81
"=""11-2000""",306,0
"=""11-2001""",306,608
"=""11-2002""",306,0
"=""11-2003""",306,0
"=""11-2004""",306,0
"=""11-2005""",306,157
"=""11-2006""",306,0
"=""11-2007""",306,390
"=""11-2008""",306,0
"=""11-2009""",306,249
"=""11-2010""",306,0
"=""11-2011""",306,0
"=""11-2012""",306,0
"=""12-1995""",306,0
"=""12-1996""",306,0
"=""12-1997""",306,0
"=""12-1998""",306,0
"=""12-1999""",306,146
"=""12-2000""",306,0
"=""12-2001""",306,216
"=""12-2002""",306,72
"=""12-2003""",306,0
"=""12-2004""",306,0
"=""12-2005""",306,70
"=""12-2006""",306,0
"=""12-2007""",306,0
"=""12-2008""",306,74
"=""12-2009""",306,0
"=""12-2010""",306,0
"=""12-2011""",306,0
"=""12-2012""",306,103
"=""01-1995""",308,0
"=""01-1996""",308,0
"=""01-1997""",308,0
"=""01-1998""",308,0
"=""01-1999""",308,0
"=""01-2000""",308,0
"=""01-2001""",308,0
"=""01-2002""",308,0
"=""01-2003""",308,0
"=""01-2004""",308,496
"=""01-2005""",308,142
"=""01-2006""",308,0
"=""01-2007""",308,1068
"=""01-2008""",308,121
"=""01-2009""",308,212
"=""01-2010""",308,160
"=""01-2011""",308,279
"=""01-2012""",308,0
"=""02-1995""",308,0
"=""02-1996""",308,0
"=""02-1997""",308,0
"=""02-1998""",308,0
"=""02-1999""",308,0
"=""02-2000""",308,0
"=""02-2001""",308,171
"=""02-2002""",308,984
"=""02-2003""",308,498
"=""02-2004""",308,440
"=""02-2005""",308,672
"=""02-2006""",308,1278
"=""02-2007""",308,1627
"=""02-2008""",308,2394
"=""02-2009""",308,215
"=""02-2010""",308,980
"=""02-2011""",308,544
"=""02-2012""",308,926
"=""03-1995""",308,0
"=""03-1996""",308,0
"=""03-1997""",308,0
"=""03-1998""",308,0
"=""03-1999""",308,0
"=""03-2000""",308,0
"=""03-2001""",308,785
"=""03-2002""",308,951
"=""03-2003""",308,1374
"=""03-2004""",308,980
"=""03-2005""",308,1121
"=""03-2006""",308,934
"=""03-2007""",308,1412
"=""03-2008""",308,549
"=""03-2009""",308,853
"=""03-2010""",308,977
"=""03-2011""",308,1111
"=""03-2012""",308,1339
"=""04-1995""",308,0
"=""04-1996""",308,0
"=""04-1997""",308,0
"=""04-1998""",308,0
"=""04-1999""",308,0
"=""04-2000""",308,0
"=""04-2001""",308,397
"=""04-2002""",308,338
"=""04-2003""",308,375
"=""04-2004""",308,550
"=""04-2005""",308,653
"=""04-2006""",308,0
"=""04-2007""",308,973
"=""04-2008""",308,690
"=""04-2009""",308,1289
"=""04-2010""",308,1147
"=""04-2011""",308,296
"=""04-2012""",308,542
"=""05-1995""",308,0
"=""05-1996""",308,0
"=""05-1997""",308,0
"=""05-1998""",308,0
"=""05-1999""",308,0
"=""05-2000""",308,0
"=""05-2001""",308,285
"=""05-2002""",308,491
"=""05-2003""",308,0
"=""05-2004""",308,339
"=""05-2005""",308,0
"=""05-2006""",308,198
"=""05-2007""",308,122
"=""05-2008""",308,0
"=""05-2009""",308,714
"=""05-2010""",308,642
"=""05-2011""",308,399
"=""05-2012""",308,0
"=""06-1995""",308,0
"=""06-1996""",308,0
"=""06-1997""",308,0
"=""06-1998""",308,0
"=""06-1999""",308,0
"=""06-2000""",308,0
"=""06-2001""",308,472
"=""06-2002""",308,0
"=""06-2003""",308,0
"=""06-2004""",308,384
"=""06-2005""",308,684
"=""06-2006""",308,0
"=""06-2007""",308,0
"=""06-2008""",308,1966
"=""06-2009""",308,804
"=""06-2010""",308,493
"=""06-2011""",308,84
"=""06-2012""",308,0
"=""07-1995""",308,0
"=""07-1996""",308,0
"=""07-1997""",308,0
"=""07-1998""",308,0
"=""07-1999""",308,0
"=""07-2000""",308,0
"=""07-2001""",308,75
"=""07-2002""",308,376
"=""07-2003""",308,288
"=""07-2004""",308,0
"=""07-2005""",308,0
"=""07-2006""",308,663
"=""07-2007""",308,0
"=""07-2008""",308,143
"=""07-2009""",308,302
"=""07-2010""",308,159
"=""07-2011""",308,464
"=""07-2012""",308,0
"=""08-1995""",308,0
"=""08-1996""",308,0
"=""08-1997""",308,0
"=""08-1998""",308,0
"=""08-1999""",308,0
"=""08-2000""",308,0
"=""08-2001""",308,0
"=""08-2002""",308,0
"=""08-2003""",308,0
"=""08-2004""",308,462
"=""08-2005""",308,0
"=""08-2006""",308,569
"=""08-2007""",308,0
"=""08-2008""",308,0
"=""08-2009""",308,0
"=""08-2010""",308,198
"=""08-2011""",308,0
"=""08-2012""",308,0
"=""09-1995""",308,0
"=""09-1996""",308,0
"=""09-1997""",308,0
"=""09-1998""",308,0
"=""09-1999""",308,0
"=""09-2000""",308,0
"=""09-2001""",308,0
"=""09-2002""",308,334
"=""09-2003""",308,1263
"=""09-2004""",308,376
"=""09-2005""",308,172
"=""09-2006""",308,97
"=""09-2007""",308,806
"=""09-2008""",308,549
"=""09-2009""",308,202
"=""09-2010""",308,358
"=""09-2011""",308,382
"=""09-2012""",308,0
"=""10-1995""",308,0
"=""10-1996""",308,0
"=""10-1997""",308,0
"=""10-1998""",308,0
"=""10-1999""",308,0
"=""10-2000""",308,0
"=""10-2001""",308,372
"=""10-2002""",308,250
"=""10-2003""",308,0
"=""10-2004""",308,397
"=""10-2005""",308,0
"=""10-2006""",308,0
"=""10-2007""",308,0
"=""10-2008""",308,0
"=""10-2009""",308,0
"=""10-2010""",308,0
"=""10-2011""",308,222
"=""10-2012""",308,0
"=""11-1995""",308,0
"=""11-1996""",308,0
"=""11-1997""",308,0
"=""11-1998""",308,0
"=""11-1999""",308,0
"=""11-2000""",308,0
"=""11-2001""",308,68
"=""11-2002""",308,0
"=""11-2003""",308,687
"=""11-2004""",308,111
"=""11-2005""",308,236
"=""11-2006""",308,51
"=""11-2007""",308,385
"=""11-2008""",308,0
"=""11-2009""",308,0
"=""11-2010""",308,206
"=""11-2011""",308,1029
"=""11-2012""",308,0
"=""12-1995""",308,0
"=""12-1996""",308,0
"=""12-1997""",308,0
"=""12-1998""",308,0
"=""12-1999""",308,0
"=""12-2000""",308,0
"=""12-2001""",308,710
"=""12-2002""",308,0
"=""12-2003""",308,0
"=""12-2004""",308,0
"=""12-2005""",308,0
"=""12-2006""",308,177
"=""12-2007""",308,119
"=""12-2008""",308,0
"=""12-2009""",308,583
"=""12-2010""",308,825
"=""12-2011""",308,0
"=""12-2012""",308,0
"=""01-1995""",314,0
"=""01-1996""",314,0
"=""01-1997""",314,0
"=""01-1998""",314,0
"=""01-1999""",314,0
"=""01-2000""",314,0
"=""01-2001""",314,149
"=""01-2002""",314,361
"=""01-2003""",314,0
"=""01-2004""",314,0
"=""01-2005""",314,254
"=""01-2006""",314,0
"=""01-2007""",314,550
"=""01-2008""",314,223
"=""01-2009""",314,807
"=""01-2010""",314,148
"=""01-2011""",314,0
"=""01-2012""",314,0
"=""02-1995""",314,0
"=""02-1996""",314,0
"=""02-1997""",314,0
"=""02-1998""",314,0
"=""02-1999""",314,0
"=""02-2000""",314,322
"=""02-2001""",314,555
"=""02-2002""",314,793
"=""02-2003""",314,2270
"=""02-2004""",314,408
"=""02-2005""",314,769
"=""02-2006""",314,871
"=""02-2007""",314,590
"=""02-2008""",314,1175
"=""02-2009""",314,1717
"=""02-2010""",314,1010
"=""02-2011""",314,187
"=""02-2012""",314,830
"=""03-1995""",314,0
"=""03-1996""",314,0
"=""03-1997""",314,0
"=""03-1998""",314,0
"=""03-1999""",314,0
"=""03-2000""",314,0
"=""03-2001""",314,333
"=""03-2002""",314,623
"=""03-2003""",314,885
"=""03-2004""",314,542
"=""03-2005""",314,711
"=""03-2006""",314,1316
"=""03-2007""",314,546
"=""03-2008""",314,702
"=""03-2009""",314,2241
"=""03-2010""",314,74
"=""03-2011""",314,1245
"=""03-2012""",314,1121
"=""04-1995""",314,0
"=""04-1996""",314,0
"=""04-1997""",314,0
"=""04-1998""",314,0
"=""04-1999""",314,0
"=""04-2000""",314,0
"=""04-2001""",314,223
"=""04-2002""",314,426
"=""04-2003""",314,547
"=""04-2004""",314,730
"=""04-2005""",314,763
"=""04-2006""",314,549
"=""04-2007""",314,528
"=""04-2008""",314,1862
"=""04-2009""",314,229
"=""04-2010""",314,321
"=""04-2011""",314,380
"=""04-2012""",314,536
"=""05-1995""",314,0
"=""05-1996""",314,0
"=""05-1997""",314,0
"=""05-1998""",314,0
"=""05-1999""",314,0
"=""05-2000""",314,0
"=""05-2001""",314,634
"=""05-2002""",314,901
"=""05-2003""",314,1415
"=""05-2004""",314,557
"=""05-2005""",314,728
"=""05-2006""",314,880
"=""05-2007""",314,378
"=""05-2008""",314,428
"=""05-2009""",314,855
"=""05-2010""",314,275
"=""05-2011""",314,1108
"=""05-2012""",314,844
"=""06-1995""",314,0
"=""06-1996""",314,0
"=""06-1997""",314,0
"=""06-1998""",314,0
"=""06-1999""",314,0
"=""06-2000""",314,0
"=""06-2001""",314,913
"=""06-2002""",314,242
"=""06-2003""",314,1034
"=""06-2004""",314,838
"=""06-2005""",314,752
"=""06-2006""",314,1463
"=""06-2007""",314,852
"=""06-2008""",314,679
"=""06-2009""",314,954
"=""06-2010""",314,247
"=""06-2011""",314,1563
"=""06-2012""",314,1005
"=""07-1995""",314,0
"=""07-1996""",314,0
"=""07-1997""",314,0
"=""07-1998""",314,0
"=""07-1999""",314,0
"=""07-2000""",314,0
"=""07-2001""",314,1025
"=""07-2002""",314,518
"=""07-2003""",314,853
"=""07-2004""",314,844
"=""07-2005""",314,757
"=""07-2006""",314,904
"=""07-2007""",314,647
"=""07-2008""",314,754
"=""07-2009""",314,2237
"=""07-2010""",314,600
"=""07-2011""",314,898
"=""07-2012""",314,698
"=""08-1995""",314,0
"=""08-1996""",314,0
"=""08-1997""",314,0
"=""08-1998""",314,0
"=""08-1999""",314,0
"=""08-2000""",314,0
"=""08-2001""",314,112
"=""08-2002""",314,135
"=""08-2003""",314,0
"=""08-2004""",314,0
"=""08-2005""",314,0
"=""08-2006""",314,189
"=""08-2007""",314,406
"=""08-2008""",314,0
"=""08-2009""",314,643
"=""08-2010""",314,68
"=""08-2011""",314,277
"=""08-2012""",314,170
"=""09-1995""",314,0
"=""09-1996""",314,0
"=""09-1997""",314,0
"=""09-1998""",314,0
"=""09-1999""",314,0
"=""09-2000""",314,0
"=""09-2001""",314,661
"=""09-2002""",314,631
"=""09-2003""",314,937
"=""09-2004""",314,471
"=""09-2005""",314,437
"=""09-2006""",314,1184
"=""09-2007""",314,413
"=""09-2008""",314,720
"=""09-2009""",314,778
"=""09-2010""",314,1569
"=""09-2011""",314,887
"=""09-2012""",314,251
"=""10-1995""",314,0
"=""10-1996""",314,0
"=""10-1997""",314,0
"=""10-1998""",314,0
"=""10-1999""",314,0
"=""10-2000""",314,0
"=""10-2001""",314,587
"=""10-2002""",314,769
"=""10-2003""",314,463
"=""10-2004""",314,64
"=""10-2005""",314,440
"=""10-2006""",314,0
"=""10-2007""",314,882
"=""10-2008""",314,436
"=""10-2009""",314,1647
"=""10-2010""",314,0
"=""10-2011""",314,830
"=""10-2012""",314,0
"=""11-1995""",314,0
"=""11-1996""",314,0
"=""11-1997""",314,0
"=""11-1998""",314,0
"=""11-1999""",314,0
"=""11-2000""",314,0
"=""11-2001""",314,766
"=""11-2002""",314,0
"=""11-2003""",314,399
"=""11-2004""",314,0
"=""11-2005""",314,674
"=""11-2006""",314,0
"=""11-2007""",314,289
"=""11-2008""",314,890
"=""11-2009""",314,391
"=""11-2010""",314,287
"=""11-2011""",314,743
"=""11-2012""",314,140
"=""12-1995""",314,0
"=""12-1996""",314,0
"=""12-1997""",314,0
"=""12-1998""",314,0
"=""12-1999""",314,0
"=""12-2000""",314,0
"=""12-2001""",314,132
"=""12-2002""",314,0
"=""12-2003""",314,0
"=""12-2004""",314,0
"=""12-2005""",314,0
"=""12-2006""",314,0
"=""12-2007""",314,114
"=""12-2008""",314,794
"=""12-2009""",314,341
"=""12-2010""",314,189
"=""12-2011""",314,949
"=""12-2012""",314,440
"=""01-1995""",316,0
"=""01-1996""",316,0
"=""01-1997""",316,0
"=""01-1998""",316,0
"=""01-1999""",316,0
"=""01-2000""",316,0
"=""01-2001""",316,0
"=""01-2002""",316,466
"=""01-2003""",316,0
"=""01-2004""",316,423
"=""01-2005""",316,0
"=""01-2006""",316,143
"=""01-2007""",316,0
"=""01-2008""",316,1078
"=""01-2009""",316,554
"=""01-2010""",316,1095
"=""01-2011""",316,2482
"=""01-2012""",316,0
"=""02-1995""",316,0
"=""02-1996""",316,0
"=""02-1997""",316,0
"=""02-1998""",316,0
"=""02-1999""",316,0
"=""02-2000""",316,0
"=""02-2001""",316,0
"=""02-2002""",316,254
"=""02-2003""",316,377
"=""02-2004""",316,0
"=""02-2005""",316,578
"=""02-2006""",316,149
"=""02-2007""",316,161
"=""02-2008""",316,0
"=""02-2009""",316,90
"=""02-2010""",316,0
"=""02-2011""",316,0
"=""02-2012""",316,0
"=""03-1995""",316,0
"=""03-1996""",316,0
"=""03-1997""",316,0
"=""03-1998""",316,0
