Date,Committee,Number of utterances made by the committees per month
"=""07-2003""",106,0
"=""07-2004""",106,0
"=""07-2005""",106,0
"=""07-2006""",106,618
"=""07-2007""",106,1732
"=""07-2008""",106,2275
"=""07-2009""",106,2975
"=""07-2010""",106,948
"=""07-2011""",106,1449
"=""07-2012""",106,1424
"=""08-1995""",106,0
"=""08-1996""",106,0
"=""08-1997""",106,0
"=""08-1998""",106,0
"=""08-1999""",106,0
"=""08-2000""",106,0
"=""08-2001""",106,0
"=""08-2002""",106,0
"=""08-2003""",106,0
"=""08-2004""",106,0
"=""08-2005""",106,0
"=""08-2006""",106,228
"=""08-2007""",106,353
"=""08-2008""",106,0
"=""08-2009""",106,0
"=""08-2010""",106,0
"=""08-2011""",106,0
"=""08-2012""",106,850
"=""09-1995""",106,0
"=""09-1996""",106,0
"=""09-1997""",106,0
"=""09-1998""",106,0
"=""09-1999""",106,0
"=""09-2000""",106,0
"=""09-2001""",106,0
"=""09-2002""",106,0
"=""09-2003""",106,0
"=""09-2004""",106,0
"=""09-2005""",106,0
"=""09-2006""",106,800
"=""09-2007""",106,321
"=""09-2008""",106,556
"=""09-2009""",106,497
"=""09-2010""",106,613
"=""09-2011""",106,1247
"=""09-2012""",106,810
"=""10-1995""",106,0
"=""10-1996""",106,0
"=""10-1997""",106,0
"=""10-1998""",106,0
"=""10-1999""",106,0
"=""10-2000""",106,0
"=""10-2001""",106,0
"=""10-2002""",106,0
"=""10-2003""",106,0
"=""10-2004""",106,0
"=""10-2005""",106,421
"=""10-2006""",106,0
"=""10-2007""",106,833
"=""10-2008""",106,0
"=""10-2009""",106,1372
"=""10-2010""",106,0
"=""10-2011""",106,1603
"=""10-2012""",106,0
"=""11-1995""",106,0
"=""11-1996""",106,0
"=""11-1997""",106,0
"=""11-1998""",106,0
"=""11-1999""",106,0
"=""11-2000""",106,0
"=""11-2001""",106,0
"=""11-2002""",106,0
"=""11-2003""",106,0
"=""11-2004""",106,0
"=""11-2005""",106,118
"=""11-2006""",106,0
"=""11-2007""",106,329
"=""11-2008""",106,201
"=""11-2009""",106,407
"=""11-2010""",106,205
"=""11-2011""",106,1221
"=""11-2012""",106,0
"=""12-1995""",106,0
"=""12-1996""",106,0
"=""12-1997""",106,0
"=""12-1998""",106,0
"=""12-1999""",106,0
"=""12-2000""",106,0
"=""12-2001""",106,0
"=""12-2002""",106,0
"=""12-2003""",106,0
"=""12-2004""",106,0
"=""12-2005""",106,0
"=""12-2006""",106,244
"=""12-2007""",106,452
"=""12-2008""",106,0
"=""12-2009""",106,844
"=""12-2010""",106,105
"=""12-2011""",106,0
"=""12-2012""",106,313
"=""01-1995""",113,0
"=""01-1996""",113,0
"=""01-1997""",113,0
"=""01-1998""",113,0
"=""01-1999""",113,0
"=""01-2000""",113,0
"=""01-2001""",113,0
"=""01-2002""",113,0
"=""01-2003""",113,0
"=""01-2004""",113,544
"=""01-2005""",113,0
"=""01-2006""",113,906
"=""01-2007""",113,0
"=""01-2008""",113,0
"=""01-2009""",113,0
"=""01-2010""",113,1124
"=""01-2011""",113,362
"=""01-2012""",113,461
"=""02-1995""",113,0
"=""02-1996""",113,0
"=""02-1997""",113,0
"=""02-1998""",113,0
"=""02-1999""",113,0
"=""02-2000""",113,0
"=""02-2001""",113,203
"=""02-2002""",113,2842
"=""02-2003""",113,1039
"=""02-2004""",113,468
"=""02-2005""",113,880
"=""02-2006""",113,685
"=""02-2007""",113,2988
"=""02-2008""",113,1955
"=""02-2009""",113,3613
"=""02-2010""",113,815
"=""02-2011""",113,2553
"=""02-2012""",113,2559
"=""03-1995""",113,0
"=""03-1996""",113,0
"=""03-1997""",113,0
"=""03-1998""",113,0
"=""03-1999""",113,0
"=""03-2000""",113,0
"=""03-2001""",113,1821
"=""03-2002""",113,1209
"=""03-2003""",113,2212
"=""03-2004""",113,1877
"=""03-2005""",113,1225
"=""03-2006""",113,1323
"=""03-2007""",113,3288
"=""03-2008""",113,2533
"=""03-2009""",113,5377
"=""03-2010""",113,2942
"=""03-2011""",113,3718
"=""03-2012""",113,2764
"=""04-1995""",113,0
"=""04-1996""",113,0
"=""04-1997""",113,0
"=""04-1998""",113,0
"=""04-1999""",113,0
"=""04-2000""",113,0
"=""04-2001""",113,754
"=""04-2002""",113,857
"=""04-2003""",113,2173
"=""04-2004""",113,1093
"=""04-2005""",113,2206
"=""04-2006""",113,1507
"=""04-2007""",113,934
"=""04-2008""",113,2787
"=""04-2009""",113,897
"=""04-2010""",113,2823
"=""04-2011""",113,1111
"=""04-2012""",113,1139
"=""05-1995""",113,0
"=""05-1996""",113,0
"=""05-1997""",113,0
"=""05-1998""",113,0
"=""05-1999""",113,0
"=""05-2000""",113,0
"=""05-2001""",113,2480
"=""05-2002""",113,1520
"=""05-2003""",113,1342
"=""05-2004""",113,1451
"=""05-2005""",113,2883
"=""05-2006""",113,1864
"=""05-2007""",113,1118
"=""05-2008""",113,1130
"=""05-2009""",113,2539
"=""05-2010""",113,2864
"=""05-2011""",113,1810
"=""05-2012""",113,2366
"=""06-1995""",113,0
"=""06-1996""",113,0
"=""06-1997""",113,0
"=""06-1998""",113,0
"=""06-1999""",113,0
"=""06-2000""",113,0
"=""06-2001""",113,1914
"=""06-2002""",113,454
"=""06-2003""",113,4106
"=""06-2004""",113,1590
"=""06-2005""",113,1300
"=""06-2006""",113,1435
"=""06-2007""",113,3235
"=""06-2008""",113,1944
"=""06-2009""",113,2888
"=""06-2010""",113,0
"=""06-2011""",113,1977
"=""06-2012""",113,2741
"=""07-1995""",113,0
"=""07-1996""",113,0
"=""07-1997""",113,0
"=""07-1998""",113,0
"=""07-1999""",113,0
"=""07-2000""",113,0
"=""07-2001""",113,1652
"=""07-2002""",113,2717
"=""07-2003""",113,996
"=""07-2004""",113,1283
"=""07-2005""",113,1294
"=""07-2006""",113,2236
"=""07-2007""",113,1902
"=""07-2008""",113,2171
"=""07-2009""",113,3274
"=""07-2010""",113,1445
"=""07-2011""",113,2881
"=""07-2012""",113,2491
"=""08-1995""",113,0
"=""08-1996""",113,0
"=""08-1997""",113,0
"=""08-1998""",113,0
"=""08-1999""",113,0
"=""08-2000""",113,0
"=""08-2001""",113,532
"=""08-2002""",113,0
"=""08-2003""",113,0
"=""08-2004""",113,401
"=""08-2005""",113,264
"=""08-2006""",113,203
"=""08-2007""",113,222
"=""08-2008""",113,0
"=""08-2009""",113,907
"=""08-2010""",113,205
"=""08-2011""",113,332
"=""08-2012""",113,207
"=""09-1995""",113,0
"=""09-1996""",113,0
"=""09-1997""",113,0
"=""09-1998""",113,0
"=""09-1999""",113,0
"=""09-2000""",113,0
"=""09-2001""",113,492
"=""09-2002""",113,487
"=""09-2003""",113,1032
"=""09-2004""",113,1007
"=""09-2005""",113,822
"=""09-2006""",113,1063
"=""09-2007""",113,1676
"=""09-2008""",113,1834
"=""09-2009""",113,2824
"=""09-2010""",113,1892
"=""09-2011""",113,2227
"=""09-2012""",113,958
"=""10-1995""",113,0
"=""10-1996""",113,0
"=""10-1997""",113,0
"=""10-1998""",113,0
"=""10-1999""",113,0
"=""10-2000""",113,0
"=""10-2001""",113,877
"=""10-2002""",113,268
"=""10-2003""",113,1308
"=""10-2004""",113,544
"=""10-2005""",113,463
"=""10-2006""",113,0
"=""10-2007""",113,3217
"=""10-2008""",113,509
"=""10-2009""",113,2539
"=""10-2010""",113,0
"=""10-2011""",113,2829
"=""10-2012""",113,0
"=""11-1995""",113,0
"=""11-1996""",113,0
"=""11-1997""",113,0
"=""11-1998""",113,0
"=""11-1999""",113,0
"=""11-2000""",113,0
"=""11-2001""",113,575
"=""11-2002""",113,0
"=""11-2003""",113,1005
"=""11-2004""",113,0
"=""11-2005""",113,948
"=""11-2006""",113,0
"=""11-2007""",113,1072
"=""11-2008""",113,1312
"=""11-2009""",113,270
"=""11-2010""",113,536
"=""11-2011""",113,2481
"=""11-2012""",113,711
"=""12-1995""",113,0
"=""12-1996""",113,0
"=""12-1997""",113,0
"=""12-1998""",113,0
"=""12-1999""",113,0
"=""12-2000""",113,0
"=""12-2001""",113,447
"=""12-2002""",113,0
"=""12-2003""",113,0
"=""12-2004""",113,407
"=""12-2005""",113,991
"=""12-2006""",113,0
"=""12-2007""",113,675
"=""12-2008""",113,1212
"=""12-2009""",113,1060
"=""12-2010""",113,167
"=""12-2011""",113,2801
"=""12-2012""",113,561
"=""01-1995""",115,0
"=""01-1996""",115,0
"=""01-1997""",115,0
"=""01-1998""",115,0
"=""01-1999""",115,0
"=""01-2000""",115,0
"=""01-2001""",115,120
"=""01-2002""",115,238
"=""01-2003""",115,0
"=""01-2004""",115,291
"=""01-2005""",115,0
"=""01-2006""",115,0
"=""01-2007""",115,1158
"=""01-2008""",115,1092
"=""01-2009""",115,262
"=""01-2010""",115,471
"=""01-2011""",115,468
"=""01-2012""",115,0
"=""02-1995""",115,0
"=""02-1996""",115,0
"=""02-1997""",115,0
"=""02-1998""",115,0
"=""02-1999""",115,208
"=""02-2000""",115,1086
"=""02-2001""",115,97
"=""02-2002""",115,1006
"=""02-2003""",115,1351
"=""02-2004""",115,1519
"=""02-2005""",115,976
"=""02-2006""",115,883
"=""02-2007""",115,2367
"=""02-2008""",115,1022
"=""02-2009""",115,391
"=""02-2010""",115,850
"=""02-2011""",115,1439
"=""02-2012""",115,2206
"=""03-1995""",115,0
"=""03-1996""",115,0
"=""03-1997""",115,0
"=""03-1998""",115,0
"=""03-1999""",115,286
"=""03-2000""",115,110
"=""03-2001""",115,1906
"=""03-2002""",115,262
"=""03-2003""",115,161
"=""03-2004""",115,0
"=""03-2005""",115,452
"=""03-2006""",115,248
"=""03-2007""",115,424
"=""03-2008""",115,0
"=""03-2009""",115,1399
"=""03-2010""",115,387
"=""03-2011""",115,804
"=""03-2012""",115,58
"=""04-1995""",115,0
"=""04-1996""",115,0
"=""04-1997""",115,0
"=""04-1998""",115,0
"=""04-1999""",115,0
"=""04-2000""",115,351
"=""04-2001""",115,0
"=""04-2002""",115,120
"=""04-2003""",115,0
"=""04-2004""",115,0
"=""04-2005""",115,0
"=""04-2006""",115,0
"=""04-2007""",115,0
"=""04-2008""",115,0
"=""04-2009""",115,0
"=""04-2010""",115,0
"=""04-2011""",115,0
"=""04-2012""",115,362
"=""05-1995""",115,0
"=""05-1996""",115,0
"=""05-1997""",115,0
"=""05-1998""",115,0
"=""05-1999""",115,208
"=""05-2000""",115,731
"=""05-2001""",115,0
"=""05-2002""",115,104
"=""05-2003""",115,279
"=""05-2004""",115,0
"=""05-2005""",115,0
"=""05-2006""",115,149
"=""05-2007""",115,0
"=""05-2008""",115,0
"=""05-2009""",115,179
"=""05-2010""",115,0
"=""05-2011""",115,0
"=""05-2012""",115,203
"=""06-1995""",115,0
"=""06-1996""",115,0
"=""06-1997""",115,0
"=""06-1998""",115,0
"=""06-1999""",115,1550
"=""06-2000""",115,145
"=""06-2001""",115,625
"=""06-2002""",115,417
"=""06-2003""",115,234
"=""06-2004""",115,0
"=""06-2005""",115,296
"=""06-2006""",115,137
"=""06-2007""",115,718
"=""06-2008""",115,162
"=""06-2009""",115,685
"=""06-2010""",115,495
"=""06-2011""",115,531
"=""06-2012""",115,676
"=""07-1995""",115,0
"=""07-1996""",115,0
"=""07-1997""",115,0
"=""07-1998""",115,0
"=""07-1999""",115,0
"=""07-2000""",115,285
