Agcy Name,Org Name,Pborg Seq,Pborg Seq Managed By,Org Order,Location,Title,Name of Incumbent,Type of Appt,Pay Plan,Pay,Tenure,Expires,Pb Order
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Chief of Staff,Denis R. McDonough ,PA,AD,, ,,1
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and National Security Advisor,Susan E. Rice ,PA,AD,, ,,2
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Deputy Chief of Staff for Operations,Anita J. Breckenridge ,PA,AD,, ,,3
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Deputy Chief of Staff for Implementation,Kristie A. Canegallo ,PA,AD,, ,,4
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Director of Scheduling and Advance,Chase M. Cushman ,PA,AD,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Press Secretary,Joshua R. Earnest ,PA,AD,, ,,6
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Counsel to the President,Warren N. Eggleston ,PA,AD,, ,,7
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Senior Advisor and Assistant to the President for Intergovernmental Affairs and Public Engagement,Valerie B. Jarrett ,PA,AD,, ,,8
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Cabinet Secretary,Broderick D. Johnson ,PA,AD,, ,,9
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Director of Speechwriting,Cody S. Keenan ,PA,AD,, ,,10
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President for Homeland Security and Counterterrorism and Deputy National Security Advisor,Lisa O. Monaco ,PA,AD,, ,,11
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Director of the Domestic Policy Council,Cecilia Munoz ,PA,AD,, ,,12
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Deputy National Security Advisor for Strategic Communications and Speechwriting,Benjamin J. Rhodes ,PA,AD,, ,,13
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Director of the Office of Political Strategy and Outreach,David M. Simas ,PA,AD,, ,,14
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Chief of Staff to the First Lady,Christina M. Tchen ,PA,AD,, ,,15
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President for Economic Policy and Director of the National Economic Council,Jeffrey D. Zients ,PA,AD,, ,,16
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Senior Advisor,Brian C. Deese ,PA,AD,, ,,17
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Deputy National Security Advisor,Avril D. Haines ,PA,AD,, ,,18
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Senior Advisor,Shailagh J. Murray ,PA,AD,, ,,19
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Director of Communications,Jennifer R. Psaki ,PA,AD,, ,,20
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President for Management and Administration,Maju S. Varghese ,PA,AD,, ,,21
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Director of Presidential Personnel,Rodin A. Mehrbani ,PA,AD,, ,,22
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Assistant to the President and Director of the Office of Legislative Affairs,Amy D. Rosenbaum ,PA,AD,, ,,23
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President and Deputy Counsel to the President,Michael S. Bosworth ,PA,AD,, ,,24
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President for Health Policy,Jeanne M. Lambrew ,PA,AD,, ,,25
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President for Legislative Affairs and House Liaison,Alejandro Perez ,PA,AD,, ,,26
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President for Energy and Climate Change,Dan G. Utech ,PA,AD,, ,,27
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President and Staff Secretary,Joan L. Walsh ,PA,AD,, ,,28
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President and Deputy Counsel to the President,Nicholas L. McQuaid ,PA,AD,, ,,29
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President for Legislative Affairs and Senate Liaison,Martin P. Paone ,PA,AD,, ,,30
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President and Deputy Counsel to the President,Christopher C. Fonzone ,PA,AD,, ,,31
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President and Director of Intergovernmental Affairs,Jerry E. Abramson ,PA,AD,, ,,32
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President and Director of the Office of Public Engagement,Paulette L. Aniskoff ,PA,AD,, ,,33
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President for Management and Administration,Katherine P. Dickerson ,PA,AD,, ,,34
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Director of Records Management,Philip C. Droege ,XS,AD,, ,,35
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Executive Clerk,David E. Kalbaugh ,XS,AD,, ,,36
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President and Deputy Director of Communications,Elizabeth M. Allen ,PA,AD,, ,,37
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President and Chief Digital Officer,Jason B. Goldman ,PA,AD,, ,,38
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President and Advisor to the Chief of Staff,Natalie H. Quillian ,PA,AD,, ,,39
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Senior Counsel to the President,Dana A. Remus ,PA,AD,, ,,40
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Senior Counsel to the President,Margaret E. Whitney ,PA,AD,, ,,41
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President and Senior Advisor to the First Lady,Melissa E. Winter ,PA,AD,, ,,42
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President and Deputy Director of Presidential Personnel,Margaret T. McLaughlin ,PA,AD,, ,,43
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President and Deputy Director of Presidential Personnel,David L. Noble ,PA,AD,, ,,44
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Associate Counsel to the President,Sarah E. Baker ,PA,AD,, ,,45
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President and Director of Advance and Operations,Michael P. Brush ,PA,AD,, ,,46
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President and Director of Scheduling,Gregory Lorjuste ,PA,AD,, ,,47
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC","Special Assistant to the President, Trip Director and Personal Aide to the President","Marvin D. Nicholson, Jr. ",PA,AD,, ,,48
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Associate Counsel to the President,James D. Walsh ,PA,AD,, ,,49
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Associate Counsel to the President,Erica Y. Williams ,PA,AD,, ,,50
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President for Intergovernmental Affairs and Public Engagement and Senior Advisor to the National Economic Council,Yohannes A. Abraham ,PA,AD,, ,,51
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and House Legislative Affairs Liaison,Kellie N. Larkin ,PA,AD,, ,,52
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Senate Legislative Affairs Liaison,Kathleen L. Mellody ,PA,AD,, ,,53
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Senate Legislative Affairs Liaison,Joshua D. Pollack ,PA,AD,, ,,54
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC","Special Assistant to the President, Principal Deputy Press Secretary and Senior Advisor to the Press Secretary",Eric H. Schultz ,PA,AD,, ,,55
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Director and Senior Advisor for Records Management,Paul S. Raizk ,XS,AD,, ,,56
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Senate Legislative Affairs Liaison,Tara L. Billingsley ,PA,AD,, ,,57
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Senate Legislative Affairs Liaison,Chad R. Kreikemeier ,PA,AD,, ,,58
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Senate Legislative Affairs Liaison,Kathryn E. Mevis ,PA,AD,, ,,59
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and House Legislative Affairs Liaison,Alexandra N. Veitch ,PA,AD,, ,,60
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and House Legislative Affairs Liaison,Trenton D. Bauserman ,PA,AD,, ,,61
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Deputy Director for Energy and Climate Change,"Richard D. Duke, Jr. ",PA,AD,, ,,62
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and House Legislative Affairs Liaison,Michelle J. Millben ,PA,AD,, ,,63
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President for Legislative Affairs and House Legislative Affairs Liaison,Allie R. Neill ,PA,AD,, ,,64
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Deputy Assistant to the President and Deputy Cabinet Secretary,Gaurab Bansal ,PA,AD,, ,,65
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Director of White House Information Technology,David B. Recordon ,PA,AD,, ,,66
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President for Presidential Personnel and Lead for Leadership Development,Pamela D. Coleman ,PA,AD,, ,,67
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President for Presidential Personnel and Lead for Climate and Domestic,Ruchi Jain ,PA,AD,, ,,68
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President for Presidential Personnel and Lead for National Security and Foreign Policy,Christopher J. Le Mon ,PA,AD,, ,,69
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC","Special Assistant to the President for Presidential Personnel and Lead for Boards, Commissions, and Presidential Delegations",Amanda D. Moose ,PA,AD,, ,,70
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President for Presidential Personnel and Lead for Economics and Justice,Jeffrey J. Rapp ,PA,AD,, ,,71
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and White House Social Secretary,Deesha A. Dyer ,PA,AD,, ,,72
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC","Special Assistant to the President, Senior Strategic and Policy Advisor to the Council On Women and Girls, and Senior Presidential Speechwriter",Sarah K. Hurwitz ,PA,AD,, ,,73
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Director of Stenography,Margaret M. Suntum ,XS,AD,, ,,74
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Executive Director of Let's Move! and Senior Policy Advisor for Nutrition Policy,Debra L. Eschmeyer ,XS,AD,, ,,75
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President for Management and Administration and Director of White House Personnel,Jennifer M. Fay ,PA,AD,, ,,76
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Principal Travel Aide,Joseph B. Paulsen ,PA,AD,, ,,77
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President for Management and Administration and Director of the Visitors Office,Ellie S. Schafer ,PA,AD,, ,,78
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC","Special Assistant to the President, Deputy Press Secretary and Senior Advisor to the Press Secretary",Jennifer B. Friedman ,PA,AD,, ,,79
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Director of Communications for the First Lady,Caroline E. Adler ,PA,AD,, ,,80
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Associate Counsel to the President,Megan M. Ceronsky ,PA,AD,, ,,81
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Associate Counsel to the President,Joshua N. Friedman ,PA,AD,, ,,82
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Associate Counsel to the President,Rakesh N. Kilaru ,PA,AD,, ,,83
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Associate Counsel to the President,David A. Newman ,PA,AD,, ,,84
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Associate Counsel to the President,Eric S. Nguyen ,PA,AD,, ,,85
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,40315,39780,10,"Washington, DC",Special Assistant to the President and Associate Counsel to the President,Brent S. Wible ,PA,AD,, ,,86
